class,filename,path,url,data_origin,retrieved_date,issuing_authority,PDF_or_text
Circulers,MF BL 119 (2).jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 119 (2).jpg,,original_dataset,,Tea Board Circulers,
Circulers,mf bl 119.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\mf bl 119.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 146 (2).jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 146 (2).jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 146.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 146.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 19 II.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 19 II.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 19.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 19.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 28 1973 11 09.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 28 1973 11 09.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 34 (2).jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 34 (2).jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 34.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 34.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 40.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 40.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 5 I.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 5 I.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 5 III.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 5 III.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 5.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 5.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 58 1983 04 12.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 58 1983 04 12.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 59 1983 10 10.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 59 1983 10 10.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 6.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 6.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF Bl 62 1984 08 30.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF Bl 62 1984 08 30.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 62.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 62.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 66 1985 10 02.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 66 1985 10 02.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 67 1985 12 31.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 67 1985 12 31.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 67 B 1986 02 10.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 67 B 1986 02 10.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 7.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 7.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 73 1986 09 30.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 73 1986 09 30.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 79 I.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 79 I.jpg,,original_dataset,,Tea Board Circulers,
